"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success","count1","count2"
"c5.large","m5.large","292","422646250","366107890","366031889","0","3029150","0","467220","0","0","0","467220","137177950","4","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:53:14","2023-09-19T14:55:47","true","13","20"
"c6i.large","m5a.large","259","428983344","374785386","374723547","0","2987945","0","467219","0","0","0","467219","136262691","5","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:49:06","2023-09-19T14:51:38","false","12","12"
"r4.8xlarge","c6i.16xlarge","9183","21983652","1464712","1324642","0","4309588","0","502210","0","0","0","502210","66229826","11","2023-09-20T20:44:32","2023-09-20T20:45:00","2023-09-20T20:45:39","2023-09-20T20:47:04","true","36","101"
"c6a.large","m5a.large","281","438096493","385058900","384978231","0","3625092","0","484371","0","0","0","484371","142011030","5","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:41:53","2023-09-19T13:44:38","true","12","18"
"h1.2xlarge","x1e.8xlarge","2333","418703159","1399129","1278650","0","3373986","0","472918","0","0","0","472918","141657201","7","2023-09-19T13:16:11","2023-09-19T13:23:59","2023-09-19T13:50:06","2023-09-19T13:52:40","true","38","70"
"h1.16xlarge","m5a.large","22018","454405390","23329346","22991933","0","5569091","0","541870","0","0","0","541870","159877791","9","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:24:50","2023-09-19T14:27:52","true","58","65"
"c5.large","c4.8xlarge","292","422646250","366107890","366031889","0","3029150","0","467220","0","0","0","467220","134646879","6","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:53:14","2023-09-19T14:55:47","false","12","12"
"m5n.large","c5a.24xlarge","312","419503388","204633694","204549549","0","3029016","0","467218","0","0","0","467218","131429717","3","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:57:24","2023-09-19T14:59:58","false","9","9"
"c6a.large","x1e.xlarge","281","438096493","385058900","384978231","0","3625092","0","484371","0","0","0","484371","143512118","8","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:41:52","2023-09-19T13:44:38","true","12","21"
"c5.9xlarge","r4.large","7368","446562033","1218210","1098835","0","4386015","0","505648","0","0","0","505648","148814940","7","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T15:06:23","2023-09-19T15:10:49","false","96","96"
"m5a.8xlarge","m5n.large","10941","443939443","1537851","1309672","0","4240092","0","493750","0","0","0","493750","145980362","4","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:33:20","2023-09-19T13:36:00","true","40","47"
"m5a.8xlarge","c6a.24xlarge","12626","21226292","2057537","1249277","0","4778705","0","510781","0","0","0","510781","68307392","3","2023-09-20T14:21:53","2023-09-20T14:22:23","2023-09-20T14:23:05","2023-09-20T14:24:27","true","21","89"
